PH,DO,TEMP,SALT,암모니아,아질산
7.73674,7.23732,27.28686,19.82872,0.002641,0.44046
8.28678,7.45225,27.28896,19.08937,0.095827,0.0182
5.54073,7.27303,27.31918,22.033,0.083359,0.05489
7.99655,7.21173,27.31483,19.80178,0.034224,1.05
8.11545,7.32802,27.29805,19.75721,0.180994,1.05
8.24147,7.23533,27.28617,19.75976,0.01363,0.43438
5.52089,7.38865,27.23094,19.50761,0.24129,0.17586
7.64146,7.26406,27.18901,21.967,0.095658,0.70836
7.51609,7.29076,27.18201,21.896,0.24129,0.68873
7.24287,7.31874,27.17642,21.889,0.071546,0.43015
5.5104,6.35709,27.17363,21.897,0.109247,0.5302
5.51581,6.37436,27.18062,21.899,0.02442,0.43685
5.51073,7.34425,27.17782,21.878,0.24129,0.44296
7.98949,7.41053,27.17363,21.89,0.162633,0.19543
7.51835,7.24631,27.20858,21.892,0.24129,0.44185
7.68672,7.39303,27.19879,21.909,0.126144,0.23375
7.47581,7.48172,27.21557,21.898,0.094534,0.44674
7.39504,6.50179,27.20159,21.905,0.24129,1.05
7.64072,7.30877,27.196,21.898,0.09479,0.12404
7.65838,7.43059,27.13448,21.846,0.082076,1.05
7.46086,7.3462,27.10372,21.821,0.064763,0.38986
7.54092,7.20088,27.09673,21.772,0.204631,0.43383
7.62121,7.2782,27.08219,21.706,0.03995,1.05
5.50271,7.31038,27.08973,21.587,0.24129,1.05
7.5501,6.26541,29.71236,21.424,0.139087,0.53707
5.53899,7.41948,26.98348,21.236,0.179482,1.05
5.56051,6.21543,31.1973,21.104,0.24129,0.49014
7.25827,6.19723,31.90827,21.066,0.094954,0.78645
7.39916,7.34983,26.98838,21.049,0.124489,0.44378
7.99833,6.21893,27.81941,21.021,0.24129,0.43671
8.2139,7.2643,27.08904,21.051,0.24129,1.00343
7.2384,6.34723,27.07786,21.037,0.094267,0.64278
7.88815,7.38763,27.07995,20.988,0.24129,0.74379
7.41203,7.39605,27.13797,20.992,0.24129,0.13156
7.90261,6.05611,27.1939,20.996,0.017235,1.05
